id,instrument_id,symbol,datetime,price,volume
99,,ethereum,2025-10-27T04:01:05.618000+00:00,4205.30281228439,
172,,solana,2025-10-27T04:00:52.478000+00:00,204.25678145976846,
171,,solana,2025-10-27T03:02:20.142000+00:00,204.0143173663658,
98,,ethereum,2025-10-27T03:00:31.179000+00:00,4205.873044242297,
24,,bitcoin,2025-10-27T03:00:17.245000+00:00,114916.39023835513,
23,,bitcoin,2025-10-27T02:02:02.520000+00:00,115308.49503837402,
170,,solana,2025-10-27T02:02:01.692000+00:00,204.47978135785385,
97,,ethereum,2025-10-27T02:01:53.414000+00:00,4191.274519134569,
169,,solana,2025-10-27T01:02:05.624000+00:00,202.9850325056783,
22,,bitcoin,2025-10-27T01:02:04.284000+00:00,114833.21487111114,
96,,ethereum,2025-10-27T01:02:03.172000+00:00,4173.317092959025,
21,,bitcoin,2025-10-27T00:01:35.763000+00:00,114476.01227508577,
168,,solana,2025-10-27T00:01:10.275000+00:00,200.07095684438153,
95,,ethereum,2025-10-27T00:01:07.808000+00:00,4161.590896249249,
167,,solana,2025-10-26T23:02:04.569000+00:00,200.13943303856183,
20,,bitcoin,2025-10-26T23:01:58.845000+00:00,114722.01666031986,
94,,ethereum,2025-10-26T23:01:56.484000+00:00,4164.681493766204,
19,,bitcoin,2025-10-26T22:02:06.721000+00:00,113502.98049760169,
93,,ethereum,2025-10-26T22:02:04.671000+00:00,4082.7094184755333,
166,,solana,2025-10-26T22:01:07.083000+00:00,198.29985063281362,
92,,ethereum,2025-10-26T21:01:15.346000+00:00,4068.577503039739,
18,,bitcoin,2025-10-26T21:01:15.240000+00:00,113450.43372360575,
165,,solana,2025-10-26T21:01:11.102000+00:00,197.70374766468075,
91,,ethereum,2025-10-26T20:06:44.959000+00:00,4066.928012672141,
17,,bitcoin,2025-10-26T20:06:36.133000+00:00,113547.67923965938,
164,,solana,2025-10-26T20:06:31.965000+00:00,198.63632272850526,
16,,bitcoin,2025-10-26T19:02:06.151000+00:00,113659.68644218838,
163,,solana,2025-10-26T19:02:00.938000+00:00,199.390310776466,
90,,ethereum,2025-10-26T19:01:38.879000+00:00,4074.755529599982,
162,,solana,2025-10-26T18:02:14.194000+00:00,199.0560199901057,
89,,ethereum,2025-10-26T18:02:13.099000+00:00,4062.3645119579646,
15,,bitcoin,2025-10-26T18:02:12.302000+00:00,113484.57948892299,
161,,solana,2025-10-26T17:06:23.455000+00:00,198.91991411200544,
88,,ethereum,2025-10-26T17:02:38.473000+00:00,4056.6424079658786,
14,,bitcoin,2025-10-26T17:00:30.286000+00:00,113557.60101098006,
160,,solana,2025-10-26T16:01:13.009000+00:00,199.52628363959192,
